본부	지역단	지점	인원	L	I	N	K
서울본부	서울지역단	정동지점	24	2.8	2.4	1.9	2.5
서울본부	서울지역단	로얄지점	50	3.5	3.2	3.0	3.5
서울본부	서울지역단	불광지점	31	2.8	2.5	2.5	3.2
서울본부	서울지역단	중앙지점	30	2.5	2.4	2.2	2.8
서울본부	서울지역단	일산지점	7	2.8	2.2	2.4	2.8
서울본부	서울지역단	파주지점	21	2.8	2.5	2.8	3.1
서울본부	서울지역단	김포SFP지점	35	2.8	2.5	2.8	3.2
서울본부	강북지역단	노원지점	22	3.0	2.7	2.5	3.0
서울본부	강동지역단	잠실지점	32	2.6	2.7	2.6	2.8
서울본부	강동지역단	강동지점	6	2.8	2.0	2.5	2.9
서울본부	강동지역단	송파지점	22	3.0	2.5	2.4	3.0
서울본부	강동지역단	광진지점	4	3.1	3.1	3.0	3.6
서울본부	강동지역단	이천지점	6	2.8	2.6	2.9	3.5
서울본부	강동지역단	양평지점	13	2.9	2.3	2.2	3.0
서울본부	강서지역단	신도림지점	11	2.6	2.9	2.4	3.4
서울본부	강서지역단	목동지점	17	2.7	2.9	2.8	3.0
서울본부	강서지역단	여의도지점	19	2.5	2.6	2.4	2.7
서울본부	강남지역단	강남지점	12	2.3	2.5	1.6	2.8
서울본부	강남지역단	도곡지점	6	3.2	2.5	1.9	3.1
서울본부	강남지역단	사당지점	16	2.9	2.8	2.8	3.2
서울본부	강남지역단	성남지점	25	2.9	2.6	2.8	3.3
경인본부	부평지역단	부평지점	11	3.2	3.0	2.7	2.7
경인본부	부평지역단	신부평지점	4	3.2	2.9	3.1	3.6
경인본부	부평지역단	계양지점	1	3.5	3.0	3.5	3.0
중부본부	대전지역단	대덕지점	25	3.0	3.0	2.9	3.2
중부본부	대전지역단	탄방SFP지점	8	2.7	2.4	2.5	3.1
중부본부	충남지역단	동천안지점	11	3.5	3.0	2.8	3.1
중부본부	충남지역단	아산지점	21	3.2	2.8	2.5	3.0
중부본부	충남지역단	서산지점	39	2.6	2.3	2.5	2.9
중부본부	충남지역단	공주지점	9	3.0	2.8	3.1	3.5
중부본부	충남지역단	세종지점	20	3.0	2.7	2.8	3.5
중부본부	충북지역단	청주지점	14	3.0	2.7	2.5	3.2
중부본부	충북지역단	직지지점	17	2.7	2.6	2.5	3.2
중부본부	광주지역단	광주미래지점	3	2.5	2.3	2.3	3.1
중부본부	광주지역단	목포지점	12	2.6	2.0	2.5	3.0
중부본부	광주지역단	해남(배양)지점	7	2.1	2.5	2.7	2.8
중부본부	광주지역단	광주SFP지점	13	2.9	2.5	2.5	3.5
중부본부	전북지역단	군산지점	15	2.8	2.5	2.2	3.0
중부본부	전북지역단	정읍지점	20	2.9	2.8	2.6	3.1
중부본부	전북지역단	전주SFP지점	36	2.5	1.9	2.3	3.0
중부본부	전남지역단	순천지점	31	3.0	2.6	3.0	3.5
중부본부	전남지역단	동순천지점	21	2.9	2.5	2.2	2.9
중부본부	전남지역단	강진지점	55	3.2	2.8	3.0	3.3
영남본부	중부산지역단	연제지점	14	3.0	2.3	2.3	3.0
영남본부	중부산지역단	광복지점	14	2.6	2.4	2.4	3.0
영남본부	부산지역단	동부산지점	25	3.4	3.1	3.0	3.5
영남본부	창원지역단	창원지점	19	3.0	2.5	2.5	3.0
영남본부	경남지역단	남강지점	19	2.8	2.2	2.6	2.8
영남본부	경남지역단	하동지점	12	3.3	3.2	2.9	3.2
영남본부	경남지역단	옥포지점	7	3.0	2.4	2.4	2.2
영남본부	경남지역단	리더스SFP지점	48	2.5	2.3	2.4	3.0
영남본부	대구지역단	신화지점	37	3.3	2.8	2.8	3.5
영남본부	대구지역단	영주지점	9	2.8	2.4	2.5	2.4
영남본부	대구지역단	김천지점	18	2.8	2.8	3.0	3.2
영남본부	대구지역단	대구SFP지점	94	3.0	2.8	2.6	3.1
영남본부	동대구지역단	구미SFP지점	55	3.2	2.8	3.0	3.3
SFP본부	수도SFP1사업단	서울SFP지점	25	2.9	2.5	2.7	3.2
SFP본부	수도SFP1사업단	한양SFP지점	29	2.4	2.2	2.1	2.8
SFP본부	수도SFP1사업단	구리SFP지점	8	3.5	2.8	2.8	3.6
SFP본부	수도SFP1사업단	고양SFP지점	39	3.1	2.2	2.5	3.3
SFP본부	수도SFP1사업단	정발산SFP지점	10	2.9	2.9	3.1	3.7
SFP본부	수도SFP2사업단	인천SFP지점	22	2.9	2.7	2.9	3.6
SFP본부	수도SFP2사업단	안산SFP지점	21	3.0	2.5	2.8	3.4
SFP본부	수도SFP2사업단	화성SFP지점	6	3.3	2.6	2.9	3.8
SFP본부	수도SFP2사업단	서동탄SFP지점	17	2.7	2.4	2.5	3.3
SFP본부	수도SFP2사업단	용인SFP지점	37	2.6	2.3	2.3	2.9
SFP본부	수도SFP2사업단	은계SFP지점	34	2.9	2.7	2.8	3.2
(미매칭)	-	육성지점	35	2.8	2.2	2.2	2.7
(미매칭)	-	한화지점	33	2.8	2.6	2.7	3.2
(미매칭)	-	호남교차지점	11	3.1	2.3	2.3	3.0